CODE,II1,II2,II3,II4,IM1,IM2,IM3,IM4,IM5,IS1,IS2,IS3,IS4,IC1,IC2,IC3,IC4,OI1,OI2,OI3,OI4,II,IM,IS,IC,OI,EC1,EC2,EC3,EC4,EC5,EC6,EC,INM1,INM2,INM3,INM4
65,4,3,4,3,3,3,4,3,4,4,4,4,4,4,4,5,4,3,3,4,4,3.500,3.400,4.000,4.250,3.500,4,4,3,3,4,4,3.666666666666670,4.00000,3.00000,3.00000,4.00000
66,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,4,3,5,4,4,4,4.000,3.600,3.750,3.500,4.250,4,3,3,3,4,4,3.500000000000000,4.00000,3.00000,3.00000,4.00000
67,2,2,2,2,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,2.000,4.200,3.750,4.000,4.000,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,4.00000
68,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,4,3,4,4,2.750,2.800,3.250,2.750,3.750,2,3,3,2,3,4,2.833333333333330,2.00000,2.00000,2.00000,2.00000
69,3,2,3,3,3,3,2,2,3,3,2,4,3,3,3,3,3,2,2,2,2,2.750,2.600,3.000,3.000,2.000,2,1,2,2,3,3,2.166666666666670,2.00000,2.00000,2.00000,2.00000
70,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,5,3,4,4,3.250,3.800,4.000,3.750,4.000,3,4,4,3,5,5,4.000000000000000,4.00000,2.00000,3.00000,4.00000
71,4,3,3,4,2,3,3,3,2,4,3,3,4,4,4,4,4,3,3,4,3,3.500,2.600,3.500,4.000,3.250,3,3,4,3,4,5,3.666666666666670,4.00000,3.00000,3.00000,4.00000
72,4,4,4,4,3,3,4,4,3,5,4,5,4,4,4,4,4,4,3,3,4,4.000,3.400,4.500,4.000,3.500,3,4,3,3,4,4,3.500000000000000,4.00000,3.00000,3.00000,4.00000
73,3,3,4,3,2,2,2,3,2,2,2,3,2,2,3,2,2,2,3,2,3,3.250,2.200,2.250,2.250,2.500,1,1,2,1,2,3,1.666666666666670,1.00000,1.00000,1.00000,1.00000
74,3,2,2,3,1,2,2,3,2,3,2,3,3,3,3,3,3,2,2,2,2,2.500,2.000,2.750,3.000,2.000,1,2,2,1,3,3,2.000000000000000,1.00000,2.00000,2.00000,1.00000
75,2,1,2,2,3,3,4,3,3,2,2,3,3,2,3,3,2,2,3,2,2,1.750,3.200,2.500,2.500,2.250,2,2,2,2,3,3,2.333333333333330,1.00000,2.00000,1.00000,1.00000
76,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3.750,3.400,4.000,4.000,3.750,3,3,3,3,4,4,3.333333333333330,4.00000,3.00000,3.00000,4.00000
77,3,3,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2.750,2.600,3.250,3.000,2.750,2,3,3,2,3,4,2.833333333333330,2.00000,2.00000,2.00000,2.00000
78,3,3,3,3,2,3,3,4,3,3,3,3,4,4,3,3,3,4,3,4,4,3.000,3.000,3.250,3.250,3.750,3,2,3,2,4,4,3.000000000000000,3.00000,2.00000,2.00000,2.00000
79,4,4,4,4,3,2,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3,4.000,2.400,3.250,3.250,3.000,2,3,3,2,4,4,3.000000000000000,3.00000,2.00000,2.00000,2.00000
80,4,4,4,4,4,4,5,4,4,5,3,5,3,4,4,3,4,3,4,4,4,4.000,4.200,4.000,3.750,3.750,4,4,4,4,4,5,4.166666666666670,5.00000,2.00000,2.00000,2.00000
81,3,2,2,3,2,3,3,2,3,2,2,3,3,3,4,3,3,3,2,3,3,2.500,2.600,2.500,3.250,2.750,2,3,2,2,3,3,2.500000000000000,2.00000,2.00000,2.00000,2.00000
82,3,3,3,4,2,3,4,4,3,3,3,4,4,3,2,2,2,3,4,3,3,3.250,3.200,3.500,2.250,3.250,2,3,3,2,3,4,2.833333333333330,3.00000,2.00000,2.00000,2.00000
83,2,2,2,3,3,2,3,3,3,1,2,2,2,4,3,4,3,3,3,3,4,2.250,2.800,1.750,3.500,3.250,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
84,4,3,3,3,2,3,3,2,3,4,3,3,4,3,4,4,3,3,3,3,3,3.250,2.600,3.500,3.500,3.000,2,3,2,2,3,3,2.500000000000000,3.00000,2.00000,2.00000,2.00000
85,4,3,3,4,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,4,3,3.500,2.600,3.000,2.250,3.250,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
86,3,2,3,3,3,3,3,4,4,3,3,3,3,2,2,3,2,3,3,3,2,2.750,3.400,3.000,2.250,2.750,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
87,2,3,3,3,4,3,3,3,4,2,1,2,3,3,4,3,2,2,2,2,3,2.750,3.400,2.000,3.000,2.250,2,2,2,2,3,3,2.333333333333330,2.00000,2.00000,2.00000,2.00000
88,4,5,4,4,3,2,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,4.250,3.200,3.000,4.000,3.500,3,3,3,3,4,4,3.333333333333330,4.00000,3.00000,2.00000,3.00000
89,2,3,3,3,3,3,4,4,4,4,3,3,4,2,3,4,3,3,3,3,3,2.750,3.600,3.500,3.000,3.000,2,2,2,2,3,3,2.333333333333330,3.00000,2.00000,2.00000,2.00000
90,4,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3.500,3.200,2.750,3.000,3.250,3,3,3,3,3,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
91,4,4,3,4,3,3,3,3,4,4,4,4,4,3,3,2,2,3,3,3,3,3.750,3.200,4.000,2.500,3.000,3,3,3,3,4,4,3.333333333333330,3.00000,2.00000,2.00000,2.00000
92,3,3,4,4,3,3,4,4,4,2,1,1,2,3,4,4,3,4,4,3,3,3.500,3.600,1.500,3.500,3.500,3,2,2,3,4,3,2.833333333333330,3.00000,2.00000,2.00000,2.00000
93,4,4,3,3,4,4,5,4,4,3,4,3,4,3,3,3,3,4,4,4,4,3.500,4.200,3.500,3.000,4.000,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,2.00000
94,4,3,4,4,3,3,4,4,3,3,3,3,4,4,4,4,3,5,4,4,3,3.750,3.400,3.250,3.750,4.000,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,2.00000,2.00000
95,4,4,4,4,3,3,4,4,5,4,4,5,4,4,4,4,4,4,5,5,4,4.000,3.800,4.250,4.000,4.500,4,4,4,4,5,5,4.333333333333330,5.00000,3.00000,3.00000,3.00000
96,4,3,3,3,4,4,5,5,5,4,3,3,4,4,5,5,4,4,5,4,4,3.250,4.600,3.500,4.500,4.250,4,4,4,4,5,5,4.333333333333330,5.00000,3.00000,3.00000,3.00000
